Epoch		Loss	Accuracy
Epoch 26400: 0.624142 0.750000
Epoch 26500: 0.838334 0.703125
Epoch 26600: 0.619883 0.789062
Epoch 26700: 0.846241 0.718750
Epoch 26800: 0.481355 0.835938
Epoch 26900: 0.498413 0.820312
Epoch 27000: 0.650710 0.750000
Epoch 27100: 0.619530 0.796875
Epoch 27200: 0.492370 0.843750
Epoch 27300: 0.584020 0.820312
Epoch 27400: 0.604015 0.804688
Epoch 27500: 0.645892 0.789062
Epoch 27600: 0.419662 0.851562
Epoch 27700: 0.604447 0.804688
Epoch 27800: 0.657190 0.765625
Epoch 27900: 0.768920 0.710938
Epoch 28000: 0.464060 0.843750
Epoch 28100: 0.715953 0.742188
Epoch 28200: 0.630440 0.773438
Epoch 28300: 0.671668 0.726562
Epoch 28400: 0.526607 0.804688
Epoch 28500: 0.662959 0.773438
Epoch 28600: 0.646112 0.757812
Epoch 28700: 0.461126 0.843750
Epoch 28800: 0.396515 0.867188
Epoch 28900: 0.614361 0.773438
Epoch 29000: 0.743636 0.718750
Epoch 29100: 0.580157 0.781250
Epoch 29200: 0.649992 0.757812
Epoch 29300: 0.461840 0.820312
Epoch 29400: 0.770844 0.695312
Epoch 29500: 0.539450 0.796875
Epoch 29600: 0.668414 0.796875
Epoch 29700: 0.536020 0.859375
Epoch 29800: 0.677163 0.742188
Epoch 29900: 0.467727 0.843750
Epoch 30000: 0.551124 0.789062
Epoch 30100: 0.590088 0.781250
Epoch 30200: 0.466046 0.835938
Epoch 30300: 0.431996 0.859375
Epoch 30400: 0.676856 0.796875
Epoch 30500: 0.731330 0.765625
Epoch 30600: 0.483822 0.859375
Epoch 30700: 0.432184 0.851562
Epoch 30800: 0.736665 0.757812
Epoch 30900: 0.550232 0.835938
Epoch 31000: 0.671717 0.757812
Epoch 31100: 0.531876 0.796875
Epoch 31200: 0.851546 0.757812
Epoch 31300: 0.540815 0.773438
Epoch 31400: 0.631724 0.796875
Epoch 31500: 0.477054 0.812500
Epoch 31600: 0.741174 0.765625
Epoch 31700: 0.590200 0.789062
Epoch 31800: 0.585435 0.781250
Epoch 31900: 0.704515 0.750000
Epoch 32000: 0.528979 0.781250
Epoch 32100: 0.849017 0.734375
Epoch 32200: 0.476836 0.812500
Epoch 32300: 0.497363 0.820312
Epoch 32400: 0.468643 0.812500
Epoch 32500: 0.750339 0.710938
Epoch 32600: 0.514477 0.812500
Epoch 32700: 0.561860 0.796875
Epoch 32800: 0.698580 0.765625
Epoch 32900: 0.627065 0.781250
Epoch 33000: 0.360542 0.867188
Epoch 33100: 0.583151 0.765625
Epoch 33200: 0.582812 0.796875
Epoch 33300: 0.613879 0.773438
Epoch 33400: 0.502713 0.851562
Epoch 33500: 0.460610 0.835938
